rank,source_file,prob,site,max_bout_all,bout_dur_all,n_seg_all,max_bout,n_nontype1_total,n_distinct_nontype1,aci,duty_cycle,peak_rate,orig_path
4821,guanyinya_2023-06-17-birdnet-15_58_54,0.0217425094458721,guanyinya,9.0,3.1586633333333367,69.0,2.0,0.0,0.0,350.7144775390625,0.1708877632631298,22.42589703588144,inputs/guanyinya_2023-06-17-birdnet-15_58_54.mp3
4822,yongxing_2024-05-08-birdnet-22_45_18,0.0217413854033748,yongxing,6.0,1.17333,47.0,3.0,0.0,0.0,357.6634826660156,0.1495601173020528,28.5204991087344,inputs/yongxing_2024-05-08-birdnet-22_45_18.mp3
4823,guanyinya_2023-07-12-birdnet-06_34_25,0.021740733627894,guanyinya,12.0,3.48533,74.0,1.0,0.0,0.0,375.039794921875,0.1932817915222607,38.44827586206897,inputs/guanyinya_2023-07-12-birdnet-06_34_25.mp3
4824,liangzhuang_2024-06-28-birdnet-13_58_54,0.0217396197194927,liangzhuang,15.0,4.806663333333336,74.0,2.0,2.0,2.0,356.26043701171875,0.1095707811250333,47.74939172749392,inputs/liangzhuang_2024-06-28-birdnet-13_58_54.mp3
4825,liujiaxia_2023-07-07-birdnet-19_23_19,0.0217394294651646,liujiaxia,9.0,3.54933,53.0,2.0,2.0,2.0,363.7554321289063,0.2228739002932551,22.57775119617225,inputs/liujiaxia_2023-07-07-birdnet-19_23_19.mp3
4826,yongxing_2023-05-30-birdnet-06_53_12,0.021739095355144,yongxing,6.0,2.755996666666672,52.0,3.0,1.0,1.0,376.56494140625,0.1676886163689682,31.79650238473768,inputs/yongxing_2023-05-30-birdnet-06_53_12.mp3
4827,liangzhuang_2023-06-19-birdnet-08_58_44,0.0217359016024954,liangzhuang,8.0,1.9053300000000029,66.0,0.0,0.0,0.0,374.933349609375,0.1735537190082644,27.84178187403994,inputs/liangzhuang_2023-06-19-birdnet-08_58_44.mp3
4828,guanyinya_2023-06-13-birdnet-13_43_29,0.0217357869860134,guanyinya,11.0,5.801330000000007,47.0,3.0,1.0,1.0,360.4888916015625,0.1871500933084511,30.804843304843303,inputs/guanyinya_2023-06-13-birdnet-13_43_29.mp3
4829,liangzhuang_2024-06-29-birdnet-21_46_42,0.0217354703302558,liangzhuang,28.0,10.455996666666673,66.0,0.0,0.0,0.0,339.7748413085937,0.523327112769928,12.92664289353031,inputs/liangzhuang_2024-06-29-birdnet-21_46_42.mp3
4830,liujiaxia_2024-06-26-birdnet-20_50_48,0.0217353670236888,liujiaxia,29.0,14.410663333333334,54.0,2.0,0.0,0.0,343.2293395996094,0.2028792322047454,18.396846254927727,inputs/liujiaxia_2024-06-26-birdnet-20_50_48.mp3
4831,liangzhuang_2023-06-20-birdnet-14_03_26,0.0217350910720616,liangzhuang,19.0,8.901330000000005,69.0,2.0,0.0,0.0,353.95751953125,0.2319381498267128,20.40229885057472,inputs/liangzhuang_2023-06-20-birdnet-14_03_26.mp3
4832,minqin_2023-07-15-birdnet-14_59_11,0.0217350623393408,minqin,11.0,3.41733,45.0,1.0,0.0,0.0,377.103515625,0.1287656624900026,33.126293995859214,inputs/minqin_2023-07-15-birdnet-14_59_11.mp3
4833,minqin_2024-05-23-birdnet-06_11_31,0.0217341383037997,minqin,12.0,4.462663333333333,44.0,5.0,0.0,0.0,381.4494018554688,0.1010397227406025,38.58839050131926,inputs/minqin_2024-05-23-birdnet-06_11_31.mp3
4834,liangzhuang_2024-05-23-birdnet-13_51_43,0.021733932476528,liangzhuang,7.0,2.610663333333332,68.0,2.0,0.0,0.0,346.48883056640625,0.3782991202346041,8.544749823819592,inputs/liangzhuang_2024-05-23-birdnet-13_51_43.mp3
4835,minqin_2023-07-04-birdnet-13_51_54,0.0217338606558761,minqin,9.0,2.1133299999999977,59.0,3.0,1.0,1.0,404.451904296875,0.119168221807518,46.97986577181208,inputs/minqin_2023-07-04-birdnet-13_51_54.mp3
4836,yongxing_2023-05-27-birdnet-11_52_06,0.0217337838302984,yongxing,11.0,4.855996666666667,54.0,5.0,1.0,1.0,354.6722412109375,0.2777925886430285,23.032629558541267,inputs/yongxing_2023-05-27-birdnet-11_52_06.mp3
4837,liujiaxia_2023-06-26-birdnet-14_36_59,0.0217334087641248,liujiaxia,18.0,8.035996666666668,50.0,3.0,0.0,0.0,359.81756591796875,0.1786190349240202,24.06716417910448,inputs/liujiaxia_2023-06-26-birdnet-14_36_59.mp3
4838,liangzhuang_2023-05-27-birdnet-07_51_08,0.0217318582621734,liangzhuang,20.0,9.503996666666668,54.0,7.0,0.0,0.0,381.1578979492188,0.1250333244468141,41.04477611940299,inputs/liangzhuang_2023-05-27-birdnet-07_51_08.mp3
4839,minqin_2023-05-19-birdnet-15_56_12,0.0217306574459246,minqin,17.0,5.005329999999997,80.0,2.0,1.0,1.0,393.0361328125,0.1855505198613703,45.617816091954026,inputs/minqin_2023-05-19-birdnet-15_56_12.mp3
4840,yongxing_2023-06-03-birdnet-05_46_28,0.0217301727977482,yongxing,2.0,0.6613299999999995,36.0,1.0,1.0,1.0,339.5016174316406,0.1364969341508931,22.216796875,inputs/yongxing_2023-06-03-birdnet-05_46_28.mp3
4841,yongxing_2023-06-22-birdnet-13_39_42,0.0217299926189126,yongxing,19.0,8.022663333333334,65.0,0.0,0.0,0.0,339.3953857421875,0.1181018395094641,29.06320541760722,inputs/yongxing_2023-06-22-birdnet-13_39_42.mp3
4842,liujiaxia_2023-07-07-birdnet-17_03_18,0.0217293774554829,liujiaxia,20.0,10.598663333333338,37.0,2.0,0.0,0.0,368.8673706054688,0.180218608371101,32.17455621301775,inputs/liujiaxia_2023-07-07-birdnet-17_03_18.mp3
4843,yongxing_2024-05-06-birdnet-22_37_49,0.0217278045466152,yongxing,4.0,0.9066633333333308,51.0,4.0,1.0,1.0,384.587890625,0.1031724873367102,55.23255813953488,inputs/yongxing_2024-05-06-birdnet-22_37_49.mp3
4844,yongxing_2024-07-19-birdnet-05_41_05,0.021727645263155,yongxing,36.0,15.143996666666668,66.0,0.0,0.0,0.0,337.39794921875,0.3140495867768595,12.627334465195249,inputs/yongxing_2024-07-19-birdnet-05_41_05.mp3
4845,liangzhuang_2023-05-21-birdnet-11_49_35,0.0217274572214291,liangzhuang,3.0,1.54133,43.0,1.0,4.0,1.0,355.01434326171875,0.1071714209544121,33.582089552238806,inputs/liangzhuang_2023-05-21-birdnet-11_49_35.mp3
4846,liangzhuang_2023-06-20-birdnet-12_03_26,0.021727194116663,liangzhuang,8.0,2.651996666666665,52.0,2.0,0.0,0.0,408.8761291503906,0.064516129032258,49.58677685950413,inputs/liangzhuang_2023-06-20-birdnet-12_03_26.mp3
4847,liujiaxia_2024-06-26-birdnet-07_34_05,0.0217268384377701,liujiaxia,11.0,3.4639966666666666,61.0,1.0,1.0,1.0,343.15606689453125,0.2047454012263396,20.5078125,inputs/liujiaxia_2024-06-26-birdnet-07_34_05.mp3
4848,liangzhuang_2023-05-26-birdnet-10_10_33,0.0217257769741341,liangzhuang,8.0,3.285330000000002,62.0,6.0,0.0,0.0,349.281982421875,0.1607571314316182,28.60696517412936,inputs/liangzhuang_2023-05-26-birdnet-10_10_33.mp3
4849,minqin_2024-05-20-birdnet-08_03_44,0.0217253467385788,minqin,9.0,3.9253300000000007,18.0,1.0,0.0,0.0,382.01959228515625,0.1887496667555318,26.8361581920904,inputs/minqin_2024-05-20-birdnet-08_03_44.mp3
4850,shuanghe_2023-05-19-birdnet-05_29_37,0.0217249470110608,shuanghe,5.0,1.655996666666666,55.0,1.0,2.0,1.0,369.9918823242188,0.1319648093841642,31.565656565656568,inputs/shuanghe_2023-05-19-birdnet-05_29_37.mp3
4851,liangzhuang_2023-05-26-birdnet-10_47_33,0.0217230297361776,liangzhuang,9.0,2.5946633333333344,32.0,1.0,0.0,0.0,330.8537292480469,0.0989069581444948,69.0700808625337,inputs/liangzhuang_2023-05-26-birdnet-10_47_33.mp3
4852,shuanghe_2023-06-13-birdnet-05_47_31,0.0217227624708195,shuanghe,13.0,5.566663333333333,57.0,3.0,1.0,1.0,356.3788757324219,0.1292988536390296,32.7319587628866,inputs/shuanghe_2023-06-13-birdnet-05_47_31.mp3
4853,minqin_2024-06-15-birdnet-11_27_28,0.0217203639803705,minqin,13.0,4.822663333333333,31.0,3.0,0.0,0.0,373.8110046386719,0.2503332444681418,24.22790202342918,inputs/minqin_2024-06-15-birdnet-11_27_28.mp3
4854,yongxing_2023-05-19-birdnet-09_10_46,0.0217189492438377,yongxing,11.0,3.486663333333331,63.0,5.0,1.0,1.0,382.3450317382813,0.1850173287123434,25.93659942363113,inputs/yongxing_2023-05-19-birdnet-09_10_46.mp3
4855,liangzhuang_2023-06-16-birdnet-10_38_19,0.0217185500326517,liangzhuang,7.0,2.3439966666666656,49.0,2.0,0.0,0.0,362.9374694824219,0.1229005598507064,19.793926247288503,inputs/liangzhuang_2023-06-16-birdnet-10_38_19.mp3
4856,yongxing_2024-05-14-birdnet-16_19_21,0.0217183735386646,yongxing,14.0,4.22533,69.0,4.0,0.0,0.0,343.529541015625,0.1572913889629432,29.44915254237288,inputs/yongxing_2024-05-14-birdnet-16_19_21.mp3
4857,liangzhuang_2024-06-15-birdnet-12_54_45,0.0217181445832265,liangzhuang,12.0,4.347996666666666,67.0,0.0,0.0,0.0,360.4343872070313,0.202079445481205,23.58179419525066,inputs/liangzhuang_2024-06-15-birdnet-12_54_45.mp3
4858,minqin_2024-05-22-birdnet-15_42_54,0.0217180027163315,minqin,9.0,2.585329999999999,60.0,4.0,1.0,1.0,360.2327880859375,0.1850173287123434,22.334293948126803,inputs/minqin_2024-05-22-birdnet-15_42_54.mp3
4859,yongxing_2023-05-26-birdnet-16_47_26,0.021717988400896,yongxing,11.0,3.24533,46.0,1.0,0.0,0.0,356.6561584472656,0.1935483870967742,26.34297520661157,inputs/yongxing_2023-05-26-birdnet-16_47_26.mp3
4860,guanyinya_2023-06-16-birdnet-10_44_09,0.0217168414529708,guanyinya,35.0,15.023996666666669,74.0,4.0,1.0,1.0,369.4679260253906,0.1914156225006665,30.640668523676883,inputs/guanyinya_2023-06-16-birdnet-10_44_09.mp3
4861,liangzhuang_2023-06-20-birdnet-15_59_56,0.0217165586671173,liangzhuang,1.0,0.1986633333333323,14.0,1.0,0.0,0.0,351.34539794921875,0.245267928552386,9.782608695652174,inputs/liangzhuang_2023-06-20-birdnet-15_59_56.mp3
4862,yongxing_2023-06-22-birdnet-05_35_20,0.0217159675319121,yongxing,10.0,5.019996666666664,56.0,0.0,0.0,0.0,358.5000915527344,0.2183417755265262,25.793650793650794,inputs/yongxing_2023-06-22-birdnet-05_35_20.mp3
4863,shuanghe_2023-07-04-birdnet-12_54_21,0.0217157763169733,shuanghe,21.0,6.658663333333332,71.0,4.0,1.0,1.0,358.2896423339844,0.1327645961077046,29.11646586345381,inputs/shuanghe_2023-07-04-birdnet-12_54_21.mp3
4864,yongxing_2024-05-10-birdnet-19_42_19,0.0217145484636487,yongxing,25.0,9.386663333333336,51.0,4.0,0.0,0.0,344.32183837890625,0.13703012529992,48.15175097276264,inputs/yongxing_2024-05-10-birdnet-19_42_19.mp3
4865,guanyinya_2023-07-11-birdnet-05_39_42,0.0217140777315536,guanyinya,21.0,7.569330000000002,79.0,6.0,0.0,0.0,366.2756958007813,0.1708877632631298,31.201248049922,inputs/guanyinya_2023-07-11-birdnet-05_39_42.mp3
4866,yongxing_2023-05-30-birdnet-10_23_13,0.0217137280676919,yongxing,9.0,3.705330000000004,33.0,2.0,0.0,0.0,371.1739501953125,0.104238869634764,31.649616368286445,inputs/yongxing_2023-05-30-birdnet-10_23_13.mp3
4867,liangzhuang_2024-06-15-birdnet-14_03_15,0.0217128498085805,liangzhuang,2.0,0.293330000000001,38.0,1.0,6.0,1.0,359.78570556640625,0.0853105838443081,35.9375,inputs/liangzhuang_2024-06-15-birdnet-14_03_15.mp3
4868,guanyinya_2023-07-11-birdnet-08_50_43,0.0217125465151535,guanyinya,16.0,4.837330000000003,74.0,0.0,0.0,0.0,350.9437866210937,0.1916822180751799,27.99026425591099,inputs/guanyinya_2023-07-11-birdnet-08_50_43.mp3
4869,minqin_2024-05-19-birdnet-09_13_01,0.0217122609034272,minqin,7.0,2.0333300000000003,46.0,1.0,0.0,0.0,363.32916259765625,0.1213009864036257,26.37362637362637,inputs/minqin_2024-05-19-birdnet-09_13_01.mp3
4870,liangzhuang_2023-05-26-birdnet-10_25_03,0.0217090957185265,liangzhuang,1.0,0.1893300000000004,2.0,1.0,0.0,0.0,369.0383911132813,0.3129832044788057,26.40545144804089,inputs/liangzhuang_2023-05-26-birdnet-10_25_03.mp3
4871,liangzhuang_2023-05-30-birdnet-09_11_15,0.0217068542195255,liangzhuang,8.0,4.593329999999998,30.0,4.0,0.0,0.0,340.90771484375,0.1738203145827779,16.487730061349694,inputs/liangzhuang_2023-05-30-birdnet-09_11_15.mp3
