source_row,selection_id,View,Channel,begin_time,end_time,low_freq,high_freq,stable_id,source_stem,audio_duration_s,syllable_duration_s,frequency_box_valid,source_file
33,33,Spectrogram 1,1,11.61052515,11.991341611,0.0,14536.8,62dad7f52b9724eb155f,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.3808164609999984,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
34,34,Spectrogram 1,1,12.214578847,12.391855476,328.9,13615.9,7aa3f9fc7ca953fa441d,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1772766289999996,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
35,36,Spectrogram 1,1,12.485965291,12.619469912,1184.0,14799.9,9a07d4d35dd1f2fba003,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1335046210000001,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
36,37,Spectrogram 1,1,12.79018074,12.936816963,197.3,14207.9,e4b338094f7d38766ce1,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1466362229999998,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
37,38,Spectrogram 1,1,13.085641787,13.459892447,263.1,13287.0,fe5bd1ac1027531d0adb,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.3742506599999995,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
38,39,Spectrogram 1,1,13.564945268,13.860406315,0.0,13615.9,5522ec56242dca55d258,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.2954610469999998,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
39,40,Spectrogram 1,1,14.160244564,14.344086993,0.0,13681.7,babbeee5f7ac3d8a08b1,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1838424290000002,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
40,41,Spectrogram 1,1,14.429442407,14.576078631,394.7,15589.2,c9dcd7c8d5a8b47461c2,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1466362239999998,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
41,42,Spectrogram 1,1,14.803693067,15.053193246,460.4,13681.7,61f3748c65db92fabd80,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.249500179,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
42,43,Spectrogram 1,1,15.094776653,15.458084312,0.0,14734.1,f08da90aaf9cfca7b4eb,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.3633076590000001,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
43,45,Spectrogram 1,1,15.57408013,15.722904954,65.8,14536.8,40994e547a57ce6150db,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.148824824,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
44,46,Spectrogram 1,1,15.867352577,16.221906502,920.9,14799.9,52f15073bb8a5a6a4563,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.3545539249999994,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
