syllable_structure,bucket_a,bucket_b,n_a,n_b,recordings_a,recordings_b,n_pair_recordings,pairwise_recording_ba,ba_status,knn_cross_group_mixing,distance_perceptual_94d,distance_logmel_pca30,distance_fused_60d,distance_composite_nonnoise,bootstrap_distance_ci_low,bootstrap_distance_ci_high,bootstrap_coassignment_adaptive,distance_perceptual_94d_percentile,distance_logmel_pca30_percentile,distance_fused_60d_percentile,distance_composite_nonnoise_percentile,n_primary_views_near,evidence_adequate,recommendation,merge_evidence_score
single,single_group_05,single_group_09,83,32,38,17,50,0.984375,ok,0.02608695652173913,5.349428653717041,0.8111729701765102,1.0390012694564017,1.027812170737776,0.9391855001449585,1.2381482124328613,0.52,0.34065934065934067,0.5164835164835165,0.4175824175824176,0.4835164835164835,0,True,keep_separate,0.17821670449116098
single,single_group_04,single_group_12,104,32,45,10,50,0.9134615384615384,ok,0.08823529411764706,5.83500862121582,0.6901159809564705,1.0079671432165807,1.062493055431376,0.9832569360733032,1.3247439861297607,0.0,0.42857142857142855,0.24175824175824176,0.38461538461538464,0.5604395604395604,0,True,keep_separate,0.17520200387847448
single,single_group_06,single_group_12,29,32,11,10,19,0.875,ok,0.11475409836065574,4.688668727874756,0.862418847035491,1.0734149299103237,1.1271705726243468,1.0526012182235718,1.5330418348312378,0.0,0.2087912087912088,0.6373626373626373,0.5274725274725275,0.6373626373626373,0,True,keep_separate,0.17446180868312017
single,single_group_06,single_group_09,29,32,11,17,25,0.9671336206896552,ok,0.08524590163934426,5.935365200042725,0.8350875560063242,1.121029327241321,0.9940197110996616,1.0056926012039185,1.3844611644744873,0.36,0.4835164835164835,0.5824175824175825,0.5934065934065934,0.42857142857142855,0,True,keep_separate,0.1590428095434808
single,single_group_03,single_group_12,125,32,42,10,49,0.89025,ok,0.05859872611464968,4.734304428100586,0.8274376302783779,1.0678006754784888,1.1282999350380953,1.0127140283584595,1.3578089475631714,0.0,0.23076923076923078,0.5604395604395604,0.5054945054945055,0.6483516483516484,0,True,keep_separate,0.1583529869811717
single,single_group_07,single_group_08,31,41,16,16,32,0.9878048780487805,ok,0.05555555555555555,5.388526916503906,0.8082560741609369,1.0606262491140417,0.9359619069581414,0.9668262004852295,1.34808349609375,0.24,0.3516483516483517,0.4945054945054945,0.4725274725274725,0.3956043956043956,0,True,keep_separate,0.15054933142738022
single,single_group_01,single_group_10,470,59,97,20,98,0.9830508474576272,ok,0.023818525519848772,7.8555731773376465,0.7068222316039053,0.9958167563070176,0.8762874060531636,0.9383468627929688,1.36667001247406,0.03,0.7912087912087912,0.27472527472527475,0.37362637362637363,0.23076923076923078,0,True,keep_separate,0.1486558637927386
single,single_group_05,single_group_08,83,41,38,16,49,1.0,ok,0.017741935483870968,5.894534587860107,0.7790261099968664,1.0409126415095842,1.0605180946156458,0.9728966355323792,1.2268505096435547,0.35,0.4725274725274725,0.4175824175824176,0.42857142857142855,0.5384615384615384,0,True,keep_separate,0.14733959588798298
single,single_group_05,single_group_12,83,32,38,10,42,0.916980421686747,ok,0.07304347826086957,5.172049045562744,0.8099288030612479,1.076035395453644,1.1114250411005482,1.0357767343521118,1.410971999168396,0.0,0.2967032967032967,0.5054945054945055,0.5384615384615384,0.6263736263736264,0,True,keep_separate,0.14403057272088832
single,single_group_01,single_group_11,470,55,97,16,100,0.9818181818181818,ok,0.011428571428571429,7.018682956695557,0.7476857581046562,0.9795681779428622,0.9243496974414638,0.9139743447303772,1.1117602586746216,0.01,0.6153846153846154,0.3626373626373626,0.34065934065934067,0.3516483516483517,0,True,keep_separate,0.1436953046953047
single,single_group_02,single_group_10,53,59,25,20,43,0.9745762711864407,ok,0.0625,7.409477233886719,0.7913193910414615,1.0545812619042645,0.9572696736223686,1.0027995109558105,1.4436291456222534,0.03,0.6593406593406593,0.45054945054945056,0.45054945054945056,0.4065934065934066,0,True,keep_separate,0.14029977649469172
single,single_group_02,single_group_11,53,55,25,16,39,0.9818181818181818,ok,0.04259259259259259,6.651532173156738,0.7940111033718731,1.0420108376880686,1.01496620998477,1.0071260929107666,1.2237199544906616,0.01,0.5494505494505495,0.46153846153846156,0.43956043956043955,0.4725274725274725,0,True,keep_separate,0.12904898804898807
single,single_group_03,single_group_10,125,59,42,20,56,0.9576271186440678,ok,0.021739130434782608,7.83729887008667,0.7957585801531719,1.0726513434662572,1.0110988985310676,1.0199488401412964,1.4319391250610352,0.03,0.7802197802197802,0.4725274725274725,0.5164835164835165,0.46153846153846156,0,True,keep_separate,0.12798481621547209
single,single_group_08,single_group_10,41,59,16,20,33,0.9745762711864407,ok,0.062,6.3286261558532715,0.826450340073359,1.0886756671861624,0.8984077358697693,1.0177236795425415,1.4821434020996094,0.0,0.5274725274725275,0.5384615384615384,0.5604395604395604,0.27472527472527475,0,True,keep_separate,0.12730966660458184
single,single_group_06,single_group_08,29,41,11,16,24,0.9878048780487805,ok,0.045714285714285714,6.7319560050964355,0.8532275701309571,1.1348702695977826,1.0346116164753352,1.0369230508804321,1.4008742570877075,0.21,0.5714285714285714,0.6043956043956044,0.6483516483516484,0.5164835164835165,0,True,keep_separate,0.11316349504154383
single,single_group_04,single_group_11,104,55,45,16,54,0.990909090909091,ok,0.016352201257861635,7.968001842498779,0.7902789970842872,1.0606846090669568,1.0937974934625936,1.025557279586792,1.2296466827392578,0.01,0.8021978021978022,0.43956043956043955,0.4835164835164835,0.5824175824175825,0,True,keep_separate,0.10716754314867519
single,single_group_05,single_group_10,83,59,38,20,47,0.9576271186440678,ok,0.011267605633802818,7.793852806091309,0.8453678082678677,1.1294026278962868,1.0967338423499131,1.0740009546279907,1.4661269187927246,0.03,0.7582417582417582,0.5934065934065934,0.6043956043956044,0.6043956043956044,0,True,keep_separate,0.10556084092560579
single,single_group_04,single_group_10,104,59,45,20,58,1.0,ok,0.022085889570552148,8.237146377563477,0.7632764786488588,1.0786893310263215,1.0064482954742386,1.0206853151321411,1.4819133281707764,0.03,0.8351648351648352,0.37362637362637363,0.5494505494505495,0.45054945054945056,0,True,keep_separate,0.10247212296905549
single,single_group_06,single_group_10,29,59,11,20,30,1.0,ok,0.05,8.305464744567871,0.8624017525723511,1.1323648775513289,1.0055715262175686,1.0334221124649048,1.6291091442108154,0.03,0.8461538461538461,0.6263736263736264,0.6263736263736264,0.43956043956043955,0,True,keep_separate,0.09706593406593407
single,single_group_07,single_group_10,31,59,16,20,34,0.9745762711864407,ok,0.028888888888888888,8.094231605529785,0.8721179313722174,1.162390870286335,1.0614429799441922,1.1315330266952515,1.5364516973495483,0.02,0.8241758241758241,0.6483516483516484,0.7032967032967034,0.5494505494505495,0,True,keep_separate,0.08752260921752443
single,single_group_02,single_group_12,53,32,25,10,34,0.9749410377358491,ok,0.042352941176470586,6.235131740570068,0.8564269431594179,1.1335006133502774,1.2375552394333043,1.120911955833435,1.4850122928619385,0.0,0.5164835164835165,0.6153846153846154,0.6373626373626373,0.7802197802197802,0,True,keep_separate,0.08638468475198498
single,single_group_09,single_group_12,32,32,17,10,27,0.9375,ok,0.05625,6.726324558258057,1.0317410903448319,1.2940087660882305,1.2010965999736687,1.23475182056427,1.598996639251709,0.0,0.5604395604395604,0.8351648351648352,0.8021978021978022,0.7472527472527473,0,True,keep_separate,0.08480769230769229
