source_file,site,prob,is_gold,is_gold_manual,is_listened,max_bout_all,bout_dur_all,n_seg_all,max_bout,n_nontype1_total,n_distinct_nontype1,aci,duty_cycle,peak_rate
guanyinya_2023-05-26-birdnet-10_42_44,guanyinya,0.0,False,False,False,3.0,0.8813299999999984,27.0,1.0,0.0,0.0,340.3926696777344,0.1292988536390296,16.75257731958763
guanyinya_2023-05-26-birdnet-10_57_44,guanyinya,0.0,False,False,False,7.0,1.554663333333334,53.0,0.0,0.0,0.0,349.9940185546875,0.252199413489736,14.667019027484145
guanyinya_2023-05-26-birdnet-11_08_44,guanyinya,0.04753937943818923,False,False,False,8.0,3.66133,62.0,3.0,1.0,1.0,354.9985046386719,0.1146360970407891,36.33720930232558
guanyinya_2023-05-26-birdnet-11_09_14,guanyinya,0.001972046589018303,False,False,False,8.0,2.4546633333333325,50.0,1.0,0.0,0.0,359.2909851074219,0.1647560650493202,25.68770226537217
guanyinya_2023-05-26-birdnet-11_09_44,guanyinya,0.003974486966167499,False,False,False,7.0,2.341330000000001,48.0,1.0,0.0,0.0,360.5798950195313,0.0981071714209544,37.703804347826086
guanyinya_2023-05-26-birdnet-11_10_14,guanyinya,0.01784155289086847,False,False,False,8.0,3.841330000000003,42.0,1.0,0.0,0.0,355.25006103515625,0.1122367368701679,36.22327790973872
guanyinya_2023-05-26-birdnet-11_27_44,guanyinya,0.0019685517241379313,False,False,False,7.0,1.446663333333337,48.0,1.0,0.0,0.0,369.0065307617188,0.1900826446280991,16.65497896213184
guanyinya_2023-05-26-birdnet-11_50_45,guanyinya,0.0,False,False,False,6.0,1.62133,50.0,1.0,0.0,0.0,341.1665344238281,0.3945614502799253,6.503378378378378
guanyinya_2023-05-26-birdnet-11_51_15,guanyinya,0.0,False,False,False,9.0,2.4186633333333383,54.0,0.0,0.0,0.0,332.27618408203125,0.8885630498533724,3.0753075307530757
guanyinya_2023-05-26-birdnet-12_56_45,guanyinya,0.0,False,False,True,8.0,2.234663333333333,44.0,1.0,0.0,0.0,347.37115478515625,0.2721940815782458,17.62977473065622
guanyinya_2023-05-26-birdnet-13_03_15,guanyinya,0.0,False,False,False,2.0,0.3199966666666682,22.0,0.0,0.0,0.0,341.2348022460937,0.33564382831245,13.701350277998412
guanyinya_2023-05-26-birdnet-17_36_18,guanyinya,0.0,False,False,False,9.0,2.5573300000000003,61.0,0.0,0.0,0.0,350.3232727050781,0.3337776592908558,22.563897763578275
guanyinya_2023-05-26-birdnet-17_36_48,guanyinya,0.0,False,False,False,4.0,0.8066633333333311,41.0,0.0,0.0,0.0,350.09991455078125,0.2276726206344974,18.881733021077284
guanyinya_2023-05-26-birdnet-17_38_48,guanyinya,0.0,False,False,False,5.0,1.5999966666666676,32.0,2.0,0.0,0.0,353.27655029296875,0.151426286323647,30.149647887323948
guanyinya_2023-05-26-birdnet-17_40_18,guanyinya,0.003960579194308448,False,False,False,6.0,2.8279966666666674,42.0,1.0,0.0,0.0,354.95635986328125,0.0994401492935217,25.46916890080429
guanyinya_2023-05-26-birdnet-17_40_48,guanyinya,0.005870103091177541,False,False,False,3.0,0.7559966666666664,34.0,1.0,1.0,1.0,341.0877990722656,0.1354305518528392,16.978346456692915
guanyinya_2023-05-26-birdnet-18_10_18,guanyinya,0.0,False,False,False,4.0,1.5439966666666685,21.0,0.0,0.0,0.0,340.8378601074219,0.2388696347640629,12.555803571428571
guanyinya_2023-05-26-birdnet-18_11_48,guanyinya,0.0,False,False,False,1.0,0.1119966666666667,33.0,1.0,0.0,0.0,346.80548095703125,0.0967741935483871,27.89256198347108
guanyinya_2023-05-26-birdnet-18_12_18,guanyinya,0.003898420827998293,False,False,False,3.0,0.4719966666666693,36.0,1.0,0.0,0.0,342.6925048828125,0.0901093041855505,29.585798816568044
guanyinya_2023-05-27-birdnet-06_56_55,guanyinya,0.0,False,False,False,4.0,0.6146633333333335,40.0,1.0,0.0,0.0,358.2552490234375,0.133564382831245,31.686626746506985
guanyinya_2023-05-27-birdnet-07_36_55,guanyinya,0.0018796325625593919,False,False,False,3.0,0.6519966666666668,29.0,1.0,0.0,0.0,351.0942687988281,0.093841642228739,36.57670454545455
guanyinya_2023-05-27-birdnet-07_37_25,guanyinya,0.007819063129596312,False,False,False,5.0,1.3573300000000046,43.0,1.0,0.0,0.0,352.2083740234375,0.1053052519328179,37.65822784810126
guanyinya_2023-05-27-birdnet-07_39_25,guanyinya,0.007964508055814619,False,False,True,7.0,2.7733300000000005,50.0,1.0,0.0,0.0,348.402587890625,0.1690215942415356,15.970031545741325
guanyinya_2023-05-27-birdnet-07_39_55,guanyinya,0.01185270870795552,False,False,False,3.0,0.7799966666666691,35.0,1.0,3.0,1.0,357.145263671875,0.0874433484404158,33.15548780487805
guanyinya_2023-05-27-birdnet-07_40_25,guanyinya,0.0019877232142857144,False,False,False,4.0,0.9706633333333308,28.0,1.0,1.0,1.0,363.0404357910156,0.0869101572913889,29.52453987730061
guanyinya_2023-05-27-birdnet-07_40_55,guanyinya,0.002,False,False,False,4.0,2.313330000000001,23.0,1.0,0.0,0.0,355.47802734375,0.0959744068248467,32.63888888888889
guanyinya_2023-05-27-birdnet-14_19_59,guanyinya,0.003949251247920133,False,False,True,3.0,0.6586633333333327,28.0,1.0,0.0,0.0,354.0953063964844,0.1615569181551586,15.264026402640264
guanyinya_2023-05-27-birdnet-14_22_59,guanyinya,0.0,False,False,False,5.0,1.18533,55.0,2.0,0.0,0.0,353.65594482421875,0.447880565182618,7.366071428571429
guanyinya_2023-05-27-birdnet-15_47_29,guanyinya,0.0,False,False,False,7.0,3.069330000000001,31.0,1.0,0.0,0.0,348.13201904296875,0.1943481738203145,12.517146776406037
guanyinya_2023-05-27-birdnet-15_48_29,guanyinya,0.0,False,False,False,3.0,0.8666633333333316,21.0,1.0,0.0,0.0,334.250244140625,0.9408157824580112,2.1252479455936526
guanyinya_2023-05-27-birdnet-16_11_29,guanyinya,0.0,False,False,False,3.0,0.8373299999999997,27.0,1.0,0.0,0.0,353.1884155273437,0.4729405491868835,5.848365276211951
guanyinya_2023-05-27-birdnet-16_12_29,guanyinya,0.0,False,False,False,5.0,1.3226633333333346,32.0,0.0,0.0,0.0,332.2476806640625,1.0,2.232737936550253
guanyinya_2023-05-28-birdnet-09_53_53,guanyinya,0.0,False,False,False,2.0,0.32133,12.0,0.0,0.0,0.0,341.4768371582031,0.1810183950946414,13.807069219440352
guanyinya_2023-05-29-birdnet-12_55_38,guanyinya,0.0,False,False,False,2.0,0.1893300000000053,10.0,0.0,0.0,0.0,331.57012939453125,1.0,2.832577979205545
guanyinya_2023-05-30-birdnet-08_09_18,guanyinya,0.0019709373266777594,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,328.0350341796875,1.0,2.132764596107705
guanyinya_2023-05-30-birdnet-13_43_48,guanyinya,0.0,False,False,False,4.0,0.7466633333333323,44.0,0.0,0.0,0.0,330.9272766113281,0.8970941082378032,2.897473997028232
guanyinya_2023-05-30-birdnet-14_17_18,guanyinya,0.0,False,False,False,7.0,2.9706633333333308,13.0,0.0,0.0,0.0,340.7406311035156,0.9525459877366036,4.198152812762385
guanyinya_2023-05-30-birdnet-17_13_49,guanyinya,0.0,False,False,False,5.0,1.4253299999999989,39.0,0.0,0.0,0.0,338.9671325683594,0.6691548920287923,3.8346613545816735
guanyinya_2023-05-31-birdnet-15_17_01,guanyinya,0.0,False,False,False,9.0,2.27733,54.0,0.0,0.0,0.0,341.00006103515625,0.4641428952279392,13.282596209075244
guanyinya_2023-05-31-birdnet-15_41_01,guanyinya,0.0,False,False,False,7.0,2.4253300000000024,45.0,0.0,0.0,0.0,329.72369384765625,0.957344708077846,2.3322194374825957
guanyinya_2023-05-31-birdnet-15_41_31,guanyinya,0.0,False,False,False,8.0,3.537329999999998,47.0,0.0,0.0,0.0,348.52886962890625,0.4217541988802986,6.79519595448799
guanyinya_2023-06-02-birdnet-09_35_50,guanyinya,0.0,False,False,False,5.0,1.5013299999999998,49.0,1.0,0.0,0.0,356.5089111328125,0.3782991202346041,10.482734319943622
guanyinya_2023-06-02-birdnet-09_45_20,guanyinya,0.0,False,False,False,3.0,0.6933299999999996,34.0,1.0,0.0,0.0,346.8270263671875,0.2191415622500666,16.271289537712896
guanyinya_2023-06-02-birdnet-09_49_20,guanyinya,0.0,False,False,False,7.0,3.23999666666667,52.0,0.0,0.0,0.0,345.3960876464844,0.4865369234870701,7.876712328767123
guanyinya_2023-06-02-birdnet-10_17_19,guanyinya,0.0,False,False,False,8.0,2.449330000000004,46.0,1.0,0.0,0.0,347.71209716796875,0.6376966142362037,5.330267558528428
guanyinya_2023-06-02-birdnet-10_41_18,guanyinya,0.0,False,False,False,6.0,1.9053299999999995,32.0,1.0,0.0,0.0,373.12890625,0.1764862703279125,34.3655589123867
guanyinya_2023-06-02-birdnet-10_45_48,guanyinya,0.0,False,False,False,8.0,2.794663333333336,38.0,0.0,0.0,0.0,347.35223388671875,0.3260463876299653,15.331152902698282
guanyinya_2023-06-02-birdnet-10_47_48,guanyinya,0.005943809002810085,False,False,False,26.0,9.610663333333337,71.0,1.0,0.0,0.0,356.46044921875,0.385763796320981,9.502418797512094
guanyinya_2023-06-02-birdnet-11_10_18,guanyinya,0.0,False,False,False,5.0,1.5879966666666654,45.0,1.0,0.0,0.0,369.47412109375,0.1428952279392162,28.91791044776119
guanyinya_2023-06-02-birdnet-11_10_48,guanyinya,0.0,False,False,False,6.0,1.98933,49.0,1.0,0.0,0.0,374.8948059082031,0.1197014129565449,33.12917594654788
guanyinya_2023-06-02-birdnet-11_11_18,guanyinya,0.0,False,False,False,7.0,2.394663333333331,50.0,1.0,0.0,0.0,374.2706604003906,0.1223673687016795,29.684095860566448
guanyinya_2023-06-02-birdnet-11_11_48,guanyinya,0.0,False,False,False,5.0,1.4346633333333365,33.0,1.0,0.0,0.0,368.6821899414063,0.1532924553452412,38.2608695652174
