source_file,n_rel,max_bout,bout_dur,bout_rate,isi_cv,n_song_in_bout,n_types_bout,n_song_total,n_nontype1_total,frac_nontype1,n_distinct_nontype1,bout_start_s,bout_end_s
guanyinya_2024-04-18-birdnet-15_43_07,2.0,1.0,0.3959966666666688,2.525273781765826,,0.0,0.0,0.0,0.0,0.0,0.0,23.002001666666665,23.397998333333334
guanyinya_2024-04-18-birdnet-15_48_08,1.0,1.0,0.18799666666667036,5.319243248993672,,0.0,0.0,0.0,0.0,0.0,0.0,26.619335,26.80733166666667
guanyinya_2024-04-18-birdnet-15_48_38,3.0,1.0,0.12532999999999994,7.978935609989631,,0.0,0.0,0.0,0.0,0.0,0.0,6.454001666666667,6.579331666666667
guanyinya_2024-04-18-birdnet-15_49_07,4.0,1.0,0.13466333333333336,7.425926384316442,,0.0,0.0,0.0,0.0,0.0,0.0,1.283335,1.4179983333333332
guanyinya_2024-04-18-birdnet-16_15_38,7.0,1.0,0.26799666666666666,3.7313896939016655,,0.0,0.0,0.0,0.0,0.0,0.0,0.5900016666666666,0.8579983333333333
guanyinya_2024-04-18-birdnet-16_16_08,5.0,1.0,0.30399666666666647,3.289509753396421,,0.0,0.0,0.0,0.0,0.0,0.0,4.284668333333333,4.588665
guanyinya_2024-04-18-birdnet-16_26_08,2.0,1.0,0.5959966666666627,1.6778617330074663,,0.0,0.0,0.0,0.0,0.0,0.0,13.098001666666669,13.693998333333331
guanyinya_2024-04-18-birdnet-16_31_08,8.0,1.0,0.502663333333333,1.9894031127527383,,0.0,0.0,1.0,1.0,1.0,1.0,1.246001666666667,1.748665
guanyinya_2024-04-18-birdnet-16_31_38,6.0,1.0,0.12266333333333268,8.152395445528455,,0.0,0.0,0.0,0.0,0.0,0.0,4.068668333333334,4.191331666666667
guanyinya_2024-04-18-birdnet-16_32_38,9.0,2.0,1.1359966666666672,1.7605685462692078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.032668333333334,25.168665
guanyinya_2024-04-18-birdnet-16_33_08,18.0,2.0,1.343996666666666,1.4880989288167885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3540016666666665,4.697998333333333
guanyinya_2024-04-19-birdnet-06_49_15,5.0,2.0,0.3386633333333311,5.9055699367120145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.986001666666668,12.324665
guanyinya_2024-04-19-birdnet-06_52_46,8.0,1.0,0.19866333333333341,5.033641504052079,,1.0,1.0,1.0,1.0,1.0,1.0,1.052668333333333,1.2513316666666665
guanyinya_2024-04-19-birdnet-06_53_15,4.0,1.0,0.24266333333333456,4.120935727139088,,0.0,0.0,0.0,0.0,0.0,0.0,14.084668333333331,14.327331666666666
guanyinya_2024-04-19-birdnet-06_53_45,3.0,1.0,0.14133,7.075638576381518,,0.0,0.0,0.0,0.0,0.0,0.0,0.0820016666666666,0.2233316666666666
guanyinya_2024-04-19-birdnet-06_54_46,9.0,1.0,0.3733299999999993,2.6785953446012964,,0.0,0.0,0.0,0.0,0.0,0.0,13.339335,13.712665
guanyinya_2024-04-19-birdnet-06_55_46,1.0,1.0,0.12532999999999994,7.978935609989631,,0.0,0.0,0.0,0.0,0.0,0.0,12.862001666666666,12.987331666666666
guanyinya_2024-04-19-birdnet-06_56_15,2.0,1.0,0.12666333333334023,7.894944603804933,,0.0,0.0,0.0,0.0,0.0,0.0,24.942001666666663,25.068665000000003
guanyinya_2024-04-19-birdnet-06_59_46,1.0,1.0,0.14799666666666766,6.756908939390481,,0.0,0.0,0.0,0.0,0.0,0.0,24.491335,24.639331666666667
guanyinya_2024-04-19-birdnet-07_00_16,3.0,1.0,0.14399666666666633,6.944605199194442,,0.0,0.0,1.0,1.0,1.0,1.0,21.487335,21.631331666666668
guanyinya_2024-04-19-birdnet-07_04_15,1.0,1.0,0.16799666666666724,5.952499057520963,,0.0,0.0,0.0,0.0,0.0,0.0,12.535335,12.703331666666667
guanyinya_2024-04-19-birdnet-07_06_46,4.0,1.0,0.1666633333333376,6.000120002399894,,0.0,0.0,0.0,0.0,0.0,0.0,10.844668333333331,11.011331666666669
guanyinya_2024-04-19-birdnet-07_07_16,5.0,1.0,0.1813300000000001,5.514807257486348,,0.0,0.0,0.0,0.0,0.0,0.0,0.375335,0.5566650000000001
guanyinya_2024-04-19-birdnet-07_09_16,5.0,2.0,0.29732999999999876,6.726532808663802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.199335,23.496665
guanyinya_2024-04-19-birdnet-07_09_46,6.0,1.0,0.21332999999999913,4.687573243331946,,0.0,0.0,0.0,0.0,0.0,0.0,10.739335,10.952665
guanyinya_2024-04-19-birdnet-07_13_46,16.0,3.0,0.5533300000000001,5.42171940794824,0.604519774011298,0.0,0.0,0.0,0.0,0.0,0.0,1.911335,2.464665
guanyinya_2024-04-19-birdnet-07_14_16,5.0,3.0,0.32933000000000057,9.109403941335422,0.03157894736841932,0.0,0.0,0.0,0.0,0.0,0.0,2.2300016666666664,2.559331666666667
guanyinya_2024-04-19-birdnet-07_14_46,4.0,2.0,1.2879966666666682,1.5527990496869797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.703335,29.991331666666667
guanyinya_2024-04-19-birdnet-07_15_16,26.0,6.0,2.1773300000000013,2.7556686400315966,0.10166038137085126,0.0,0.0,0.0,0.0,0.0,0.0,27.695335,29.872665
guanyinya_2024-04-19-birdnet-07_15_46,17.0,4.0,1.6839966666666673,2.375301613819504,0.37836848915389143,0.0,0.0,0.0,0.0,0.0,0.0,6.406001666666667,8.089998333333334
guanyinya_2024-04-19-birdnet-07_16_16,3.0,1.0,0.23466333333333278,4.261424167956942,,0.0,0.0,0.0,0.0,0.0,0.0,4.412668333333333,4.647331666666666
guanyinya_2024-04-19-birdnet-07_17_16,4.0,2.0,1.1199966666666654,1.7857196003559554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.551335,29.671331666666667
guanyinya_2024-04-19-birdnet-07_17_46,11.0,2.0,0.8266633333333324,2.4193645942120763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.471335,11.297998333333332
guanyinya_2024-04-19-birdnet-07_17_51,1.0,1.0,0.27199666666666644,3.6765156435740662,,0.0,0.0,0.0,0.0,0.0,0.0,8.518001666666667,8.789998333333333
guanyinya_2024-04-19-birdnet-07_19_16,10.0,2.0,0.31066333333333773,6.437837315850937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.466001666666664,22.776665
guanyinya_2024-04-19-birdnet-07_19_46,35.0,7.0,2.2119966666666713,3.1645617308042895,0.6464198657222187,0.0,0.0,0.0,0.0,0.0,0.0,17.01666833333333,19.228665000000003
guanyinya_2024-04-19-birdnet-07_20_46,5.0,1.0,0.11866333333333356,8.427203011320525,,0.0,0.0,0.0,0.0,0.0,0.0,2.4260016666666666,2.544665
guanyinya_2024-04-19-birdnet-07_21_46,13.0,3.0,0.9573299999999989,3.1337156466422273,0.6104513064133037,0.0,0.0,0.0,0.0,0.0,0.0,7.852668333333334,8.809998333333333
guanyinya_2024-04-19-birdnet-07_22_16,25.0,4.0,0.6586633333333367,6.072905227253143,0.5010363024789862,0.0,0.0,1.0,1.0,1.0,1.0,19.616668333333333,20.27533166666667
guanyinya_2024-04-19-birdnet-07_22_46,15.0,2.0,0.7839966666666669,2.551031254384584,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.7446683333333333,3.528665
guanyinya_2024-04-19-birdnet-07_23_16,14.0,2.0,0.8226633333333346,2.431128165024976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.039335,21.861998333333336
guanyinya_2024-04-19-birdnet-07_23_46,23.0,3.0,1.3826633333333325,2.169725577930517,0.37385321100917446,0.0,0.0,0.0,0.0,0.0,0.0,5.947335000000001,7.329998333333333
guanyinya_2024-04-19-birdnet-07_24_16,22.0,3.0,1.9173299999999998,1.5646758773919984,0.09965034965034596,0.0,0.0,0.0,0.0,0.0,0.0,24.795335,26.712665
guanyinya_2024-04-19-birdnet-07_24_46,12.0,2.0,0.5439966666666685,3.6764931157666285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.664668333333331,14.208665
guanyinya_2024-04-19-birdnet-07_25_16,15.0,2.0,0.2986633333333337,6.69650330918871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.499335,2.7979983333333336
guanyinya_2024-04-19-birdnet-07_27_16,1.0,1.0,0.12133000000000393,8.241984669908247,,0.0,0.0,0.0,0.0,0.0,0.0,22.767335,22.888665000000003
guanyinya_2024-04-19-birdnet-07_27_46,2.0,1.0,0.21733000000000402,4.6012975659135025,,0.0,0.0,0.0,0.0,0.0,0.0,24.626001666666664,24.843331666666668
guanyinya_2024-04-19-birdnet-07_28_16,16.0,2.0,0.42799666666666525,4.672933589825481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.835335,15.263331666666666
guanyinya_2024-04-19-birdnet-07_28_46,15.0,2.0,0.7293300000000009,2.742242880451918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.302001666666666,17.031331666666667
guanyinya_2024-04-19-birdnet-07_29_16,19.0,3.0,0.8786633333333338,3.4142769889111855,0.5503875968992191,0.0,0.0,0.0,0.0,0.0,0.0,11.586001666666666,12.464665
guanyinya_2024-04-19-birdnet-07_29_46,5.0,1.0,0.1506633333333333,6.637314984844799,,0.0,0.0,0.0,0.0,0.0,0.0,0.0086683333333333,0.1593316666666666
guanyinya_2024-04-19-birdnet-08_33_16,8.0,3.0,1.7199966666666668,1.744189426723695,0.3362962962962999,0.0,0.0,0.0,0.0,0.0,0.0,26.522001666666664,28.24199833333333
guanyinya_2024-04-19-birdnet-08_33_46,22.0,5.0,2.8093299999999997,1.7797837918649644,0.2676241390068046,0.0,0.0,0.0,0.0,0.0,0.0,2.128668333333333,4.937998333333333
guanyinya_2024-04-19-birdnet-08_34_16,12.0,4.0,1.0679966666666667,3.745330041604374,0.23063390904201417,0.0,0.0,0.0,0.0,0.0,0.0,0.2766683333333333,1.344665
guanyinya_2024-04-19-birdnet-09_00_17,2.0,1.0,0.1039966666666654,9.615692810667126,,0.0,0.0,0.0,0.0,0.0,0.0,8.516668333333334,8.620664999999999
guanyinya_2024-04-19-birdnet-09_39_52,7.0,1.0,0.14532999999999952,6.880891763572582,,0.0,0.0,0.0,0.0,0.0,0.0,12.296668333333333,12.441998333333332
guanyinya_2024-04-19-birdnet-09_40_22,4.0,1.0,0.16666333333333316,6.000120002400054,,0.0,0.0,0.0,0.0,0.0,0.0,1.5886683333333331,1.7553316666666663
guanyinya_2024-04-19-birdnet-09_59_17,24.0,1.0,0.09733000000000014,10.274324463166533,,0.0,0.0,0.0,0.0,0.0,0.0,1.064668333333333,1.1619983333333332
guanyinya_2024-04-19-birdnet-09_59_47,23.0,1.0,0.10666333333333339,9.375292977905556,,0.0,0.0,0.0,0.0,0.0,0.0,0.4446683333333333,0.5513316666666667
guanyinya_2024-04-19-birdnet-10_00_17,3.0,1.0,0.11333000000000037,8.823788934968647,,0.0,0.0,0.0,0.0,0.0,0.0,2.960668333333333,3.0739983333333334
guanyinya_2024-04-19-birdnet-10_00_47,18.0,1.0,0.16533000000000042,6.048509042521003,,0.0,0.0,0.0,0.0,0.0,0.0,2.3540016666666665,2.519331666666667
guanyinya_2024-04-19-birdnet-10_01_17,16.0,1.0,0.15466333333333337,6.4656565874264516,,0.0,0.0,1.0,0.0,0.0,0.0,0.4180016666666666,0.572665
guanyinya_2024-04-19-birdnet-10_01_52,4.0,2.0,0.2959966666666709,6.756832847216651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.218001666666662,21.513998333333333
guanyinya_2024-04-19-birdnet-10_02_17,15.0,3.0,1.0373300000000008,2.892040141517162,0.014880952380950788,0.0,0.0,0.0,0.0,0.0,0.0,27.050001666666667,28.087331666666667
guanyinya_2024-04-19-birdnet-10_02_47,18.0,2.0,0.9399966666666657,2.1276671193869503,0.0,0.0,0.0,2.0,2.0,1.0,2.0,7.776668333333333,8.716664999999999
guanyinya_2024-04-19-birdnet-10_04_17,4.0,1.0,0.25599666666666643,3.9063008632924943,,0.0,0.0,0.0,0.0,0.0,0.0,8.095335,8.351331666666667
guanyinya_2024-04-19-birdnet-10_04_47,5.0,1.0,0.09999666666666629,10.000333344444853,,0.0,0.0,0.0,0.0,0.0,0.0,1.1780016666666668,1.2779983333333331
guanyinya_2024-04-19-birdnet-10_05_17,1.0,1.0,0.8199966666666683,1.2195171525087476,,0.0,0.0,0.0,0.0,0.0,0.0,29.171335,29.991331666666667
guanyinya_2024-04-19-birdnet-10_05_47,29.0,4.0,1.8106633333333324,2.209135142001367,0.2530807408722701,1.0,1.0,3.0,1.0,0.3333333333333333,1.0,10.679335,12.489998333333332
guanyinya_2024-04-19-birdnet-10_06_17,35.0,3.0,1.1346633333333322,2.643956063325688,0.3063973063973064,1.0,1.0,6.0,3.0,0.5,2.0,7.367335000000001,8.501998333333333
guanyinya_2024-04-19-birdnet-10_06_47,12.0,2.0,0.7333299999999987,2.727285124023296,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.268668333333334,12.001998333333333
guanyinya_2024-04-19-birdnet-10_07_47,6.0,1.0,0.18266333333333362,5.4745524553367675,,0.0,0.0,0.0,0.0,0.0,0.0,2.6620016666666664,2.844665
guanyinya_2024-04-19-birdnet-10_09_17,3.0,1.0,0.3373299999999999,2.9644561705155197,,0.0,0.0,0.0,0.0,0.0,0.0,1.003335,1.340665
guanyinya_2024-04-19-birdnet-10_09_47,6.0,1.0,0.44399666666666704,2.252269161179887,,0.0,0.0,1.0,1.0,1.0,1.0,2.971335,3.415331666666667
guanyinya_2024-04-19-birdnet-10_17_47,10.0,1.0,0.18133000000000044,5.514807257486337,,0.0,0.0,0.0,0.0,0.0,0.0,3.2300016666666664,3.411331666666667
guanyinya_2024-04-19-birdnet-10_18_47,6.0,5.0,1.8799966666666705,2.6595791836510294,0.5989937205316109,0.0,0.0,0.0,0.0,0.0,0.0,27.46066833333333,29.340665
guanyinya_2024-04-19-birdnet-10_19_17,18.0,2.0,0.3293299999999997,6.072935960890298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.670001666666667,6.9993316666666665
guanyinya_2024-04-19-birdnet-10_19_47,31.0,9.0,2.202663333333337,4.085962599822329,0.6260925827157885,0.0,0.0,0.0,0.0,0.0,0.0,20.934001666666664,23.136665
guanyinya_2024-04-19-birdnet-10_20_17,37.0,4.0,1.0586633333333335,3.778349428052355,0.3115979882337136,0.0,0.0,0.0,0.0,0.0,0.0,1.4126683333333334,2.471331666666667
guanyinya_2024-04-19-birdnet-10_20_47,53.0,13.0,5.1093300000000035,2.544364916730763,0.6425048637948184,0.0,0.0,0.0,0.0,0.0,0.0,14.491335,19.600665000000003
guanyinya_2024-04-19-birdnet-10_21_17,41.0,6.0,2.8133299999999997,2.1327039487013613,0.7200755180976848,0.0,0.0,0.0,0.0,0.0,0.0,6.536668333333334,9.349998333333334
guanyinya_2024-04-19-birdnet-10_21_47,37.0,3.0,1.4293300000000002,2.098885491803852,0.3406352683461148,0.0,0.0,0.0,0.0,0.0,0.0,9.311335,10.740665
guanyinya_2024-04-19-birdnet-10_22_17,41.0,4.0,2.5039966666666693,1.5974462159827139,0.14682506155967087,0.0,0.0,1.0,1.0,1.0,1.0,18.750001666666662,21.25399833333333
guanyinya_2024-04-19-birdnet-10_22_47,37.0,4.0,1.6813300000000027,2.379068951365879,0.05243510681783158,0.0,0.0,1.0,1.0,1.0,1.0,23.706001666666666,25.387331666666668
guanyinya_2024-04-19-birdnet-10_23_17,26.0,2.0,0.5146633333333313,3.8860355313182238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.203335,19.71799833333333
guanyinya_2024-04-19-birdnet-10_23_47,19.0,2.0,1.0599966666666654,1.8867983861584494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.727335,3.7873316666666654
guanyinya_2024-04-19-birdnet-10_24_47,3.0,1.0,0.11466333333333312,8.721183755341741,,0.0,0.0,0.0,0.0,0.0,0.0,1.3513350000000002,1.4659983333333333
guanyinya_2024-04-19-birdnet-10_25_17,9.0,3.0,0.7533300000000018,3.982318505834087,0.33081285444235103,0.0,0.0,0.0,0.0,0.0,0.0,26.92066833333333,27.673998333333333
guanyinya_2024-04-19-birdnet-10_25_47,32.0,9.0,3.3813300000000037,2.6616745481807427,0.5696167832033642,0.0,0.0,0.0,0.0,0.0,0.0,14.879335,18.260665000000003
guanyinya_2024-04-19-birdnet-10_26_47,21.0,2.0,0.5519966666666667,3.6232102850862624,0.0,0.0,0.0,6.0,6.0,1.0,1.0,2.639335,3.1913316666666667
guanyinya_2024-04-19-birdnet-10_27_53,6.0,1.0,0.15599666666666678,6.410393384474022,,0.0,0.0,0.0,0.0,0.0,0.0,23.79266833333333,23.948665
guanyinya_2024-04-19-birdnet-10_28_23,1.0,1.0,0.12399666666666675,8.06473292292803,,0.0,0.0,0.0,0.0,0.0,0.0,20.584668333333333,20.708665
guanyinya_2024-04-19-birdnet-10_29_17,1.0,1.0,0.13866333333333714,7.211711819995475,,0.0,0.0,0.0,0.0,0.0,0.0,22.991335,23.129998333333337
guanyinya_2024-04-19-birdnet-10_40_17,5.0,1.0,0.13199666666666587,7.5759488875982175,,0.0,0.0,0.0,0.0,0.0,0.0,12.207335,12.339331666666666
guanyinya_2024-04-19-birdnet-10_55_18,12.0,2.0,0.30933000000000277,6.465586913652029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.27266833333333,29.58199833333333
guanyinya_2024-04-19-birdnet-10_55_48,9.0,2.0,0.26666333333333336,7.500093751171889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239335,0.5059983333333333
guanyinya_2024-04-19-birdnet-10_56_18,1.0,1.0,0.08799666666666894,11.364066820712612,,0.0,0.0,0.0,0.0,0.0,0.0,13.344668333333331,13.432665
guanyinya_2024-04-19-birdnet-10_56_48,3.0,1.0,0.10532999999999859,9.493971328206715,,0.0,0.0,0.0,0.0,0.0,0.0,20.976668333333333,21.08199833333333
guanyinya_2024-04-19-birdnet-10_59_48,1.0,1.0,0.18532999999999689,5.395780499649365,,0.0,0.0,0.0,0.0,0.0,0.0,11.822001666666669,12.007331666666666
guanyinya_2024-04-19-birdnet-11_01_48,1.0,1.0,0.059996666666666254,16.667592644035896,,0.0,0.0,0.0,0.0,0.0,0.0,2.0820016666666668,2.141998333333333
guanyinya_2024-04-19-birdnet-11_06_48,1.0,1.0,0.3159966666666667,3.1645903437799974,,0.0,0.0,0.0,0.0,0.0,0.0,1.959335,2.2753316666666668
guanyinya_2024-04-19-birdnet-11_09_18,1.0,1.0,0.18399666666666548,5.434881066686025,,0.0,0.0,0.0,0.0,0.0,0.0,25.635335,25.819331666666667
guanyinya_2024-04-19-birdnet-11_21_18,1.0,1.0,0.09732999999999947,10.274324463166602,,0.0,0.0,0.0,0.0,0.0,0.0,4.803335000000001,4.900665
guanyinya_2024-04-19-birdnet-11_24_18,26.0,2.0,0.6866633333333336,2.9126354982305727,0.0,0.0,0.0,4.0,1.0,0.25,1.0,2.1780016666666664,2.864665
guanyinya_2024-04-19-birdnet-11_28_48,3.0,1.0,0.11866333333333756,8.427203011320243,,0.0,0.0,0.0,0.0,0.0,0.0,22.414001666666664,22.532665
guanyinya_2024-04-19-birdnet-11_29_18,7.0,3.0,0.329329999999997,9.109403941335522,0.010989010989002623,0.0,0.0,0.0,0.0,0.0,0.0,15.082001666666669,15.411331666666666
