file,kind,source,base_recording,site,region,year,src_path
liangzhuang_2023-06-07-birdnet-16_55_10_01_05.wav,manual,manual_2person,liangzhuang_2023-06-07-birdnet-16_55_10,liangzhuang,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2023-06-07-birdnet-16_55_10_01_05.wav
liangzhuang_2023-06-07-birdnet-19_27_11__bout_020.wav,pipeline,2023_strongbout,liangzhuang_2023-06-07-birdnet-19_27_11,liangzhuang,polluted,2023,tmp/test_knn_2023/song_selection/listen_strongbout_noclass_song/liangzhuang_2023-06-07-birdnet-19_27_11__bout_020.wav
liangzhuang_2023-06-07-birdnet-19_27_41_01.wav,manual,manual_2person,liangzhuang_2023-06-07-birdnet-19_27_41,liangzhuang,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2023-06-07-birdnet-19_27_41_01.wav
liangzhuang_2023-06-08-birdnet-10_29_19__bout_009.wav,pipeline,2023_strongbout,liangzhuang_2023-06-08-birdnet-10_29_19,liangzhuang,polluted,2023,tmp/test_knn_2023/song_selection/listen_strongbout_noclass_song/liangzhuang_2023-06-08-birdnet-10_29_19__bout_009.wav
liangzhuang_2023-06-08-birdnet-12_46_51__bout_013.wav,pipeline,2023_strongbout,liangzhuang_2023-06-08-birdnet-12_46_51,liangzhuang,polluted,2023,tmp/test_knn_2023/song_selection/listen_strongbout_noclass_song/liangzhuang_2023-06-08-birdnet-12_46_51__bout_013.wav
liangzhuang_2023-06-08-birdnet-12_47_21__bout_008.wav,pipeline,2023_strongbout,liangzhuang_2023-06-08-birdnet-12_47_21,liangzhuang,polluted,2023,tmp/test_knn_2023/song_selection/listen_strongbout_noclass_song/liangzhuang_2023-06-08-birdnet-12_47_21__bout_008.wav
liangzhuang_2023-06-08-birdnet-12_47_51__bout_014.wav,pipeline,2023_strongbout,liangzhuang_2023-06-08-birdnet-12_47_51,liangzhuang,polluted,2023,tmp/test_knn_2023/song_selection/listen_strongbout_noclass_song/liangzhuang_2023-06-08-birdnet-12_47_51__bout_014.wav
liangzhuang_2023-06-18-birdnet-15_49_35_01.wav,manual,manual_2person,liangzhuang_2023-06-18-birdnet-15_49_35,liangzhuang,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2023-06-18-birdnet-15_49_35_01.wav
liangzhuang_2023-06-18-birdnet-15_50_05_01.wav,manual,manual_2person,liangzhuang_2023-06-18-birdnet-15_50_05,liangzhuang,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2023-06-18-birdnet-15_50_05_01.wav
liangzhuang_2023-06-18-birdnet-15_50_35_01.wav,manual,manual_2person,liangzhuang_2023-06-18-birdnet-15_50_35,liangzhuang,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2023-06-18-birdnet-15_50_35_01.wav
