source_file,n_seg_all,max_bout_all,bout_dur_all,active_dur_all
guanyinya_2023-05-26-birdnet-09_32_43,47,5,1.5679966666666676,8.709176666666702
guanyinya_2023-05-26-birdnet-09_43_14,46,10,3.143996666666666,8.725180000000025
guanyinya_2023-05-26-birdnet-09_43_44,36,10,2.73733,8.689213333333365
guanyinya_2023-05-26-birdnet-09_44_14,29,5,1.981329999999998,8.666570000000021
guanyinya_2023-05-26-birdnet-09_44_44,45,6,2.0586633333333317,9.398516666666705
guanyinya_2023-05-26-birdnet-09_45_13,21,3,0.8479966666666705,3.718596666666677
guanyinya_2023-05-26-birdnet-09_45_44,20,3,0.5426633333333335,3.186600000000023
guanyinya_2023-05-26-birdnet-10_14_14,61,8,2.9106633333333356,13.462463333333394
guanyinya_2023-05-26-birdnet-10_14_44,35,8,3.1413300000000035,8.42255000000004
guanyinya_2023-05-26-birdnet-10_15_14,24,1,0.17332999999999998,5.298586666666677
guanyinya_2023-05-26-birdnet-10_15_44,34,6,1.681329999999999,6.303886666666692
guanyinya_2023-05-26-birdnet-10_16_14,36,7,2.4879966666666693,7.91454666666673
guanyinya_2023-05-26-birdnet-10_35_14,51,10,4.862663333333333,12.634496666666713
guanyinya_2023-05-26-birdnet-10_35_44,36,3,1.0973299999999995,6.847879999999998
guanyinya_2023-05-26-birdnet-10_36_14,36,5,1.7586633333333381,7.025213333333369
guanyinya_2023-05-26-birdnet-10_36_44,23,10,4.078663333333338,5.945256666666687
guanyinya_2023-05-26-birdnet-10_37_14,56,9,3.417329999999998,11.951813333333366
guanyinya_2023-05-26-birdnet-10_37_44,60,6,1.8026633333333333,12.53313333333339
guanyinya_2023-05-26-birdnet-10_42_44,27,3,0.8813299999999984,4.547910000000014
guanyinya_2023-05-26-birdnet-10_57_44,53,7,1.554663333333334,6.682490000000055
guanyinya_2023-05-26-birdnet-11_08_44,62,8,3.6613299999999995,11.52112666666672
guanyinya_2023-05-26-birdnet-11_09_14,50,8,2.4546633333333325,8.83183333333336
guanyinya_2023-05-26-birdnet-11_09_44,48,7,2.341330000000001,7.541173333333353
guanyinya_2023-05-26-birdnet-11_10_14,42,8,3.841330000000003,9.181193333333386
guanyinya_2023-05-26-birdnet-11_27_44,48,7,1.446663333333337,8.149173333333376
guanyinya_2023-05-26-birdnet-11_50_45,50,6,1.62133,8.127833333333399
guanyinya_2023-05-26-birdnet-11_51_15,54,9,2.4186633333333383,10.47582000000002
guanyinya_2023-05-26-birdnet-12_56_45,44,8,2.234663333333333,7.610520000000031
guanyinya_2023-05-26-birdnet-13_03_15,22,2,0.31999666666666826,2.215926666666684
guanyinya_2023-05-26-birdnet-17_36_18,61,9,2.5573300000000003,7.670463333333361
guanyinya_2023-05-26-birdnet-17_36_48,41,4,0.8066633333333311,4.290530000000032
guanyinya_2023-05-26-birdnet-17_38_48,32,5,1.5999966666666676,4.97456000000002
guanyinya_2023-05-26-birdnet-17_40_18,42,6,2.8279966666666674,8.36786000000004
guanyinya_2023-05-26-birdnet-17_40_48,34,3,0.7559966666666664,5.8638866666666845
guanyinya_2023-05-26-birdnet-18_10_18,21,4,1.5439966666666685,3.001263333333349
guanyinya_2023-05-26-birdnet-18_11_48,33,1,0.11199666666666674,3.639890000000036
guanyinya_2023-05-26-birdnet-18_12_18,36,3,0.4719966666666693,4.377213333333356
guanyinya_2023-05-27-birdnet-06_56_55,40,4,0.6146633333333335,5.954533333333373
guanyinya_2023-05-27-birdnet-07_36_55,29,3,0.6519966666666668,5.318570000000021
guanyinya_2023-05-27-birdnet-07_37_25,43,5,1.3573300000000046,10.199856666666708
guanyinya_2023-05-27-birdnet-07_39_25,50,7,2.7733300000000005,7.7211666666667265
guanyinya_2023-05-27-birdnet-07_39_55,35,3,0.7799966666666691,6.853216666666711
guanyinya_2023-05-27-birdnet-07_40_25,28,4,0.9706633333333308,6.123906666666654
guanyinya_2023-05-27-birdnet-07_40_55,23,4,2.3133300000000006,5.737256666666673
guanyinya_2023-05-27-birdnet-14_19_59,28,3,0.6586633333333327,4.630573333333345
guanyinya_2023-05-27-birdnet-14_22_59,55,5,1.18533,8.346483333333367
guanyinya_2023-05-27-birdnet-15_47_29,31,7,3.069330000000001,8.011896666666708
guanyinya_2023-05-27-birdnet-15_48_29,21,3,0.8666633333333316,2.2252633333333476
guanyinya_2023-05-27-birdnet-16_11_29,27,3,0.8373299999999997,3.3745766666666865
guanyinya_2023-05-27-birdnet-16_12_29,32,5,1.3226633333333346,3.7332266666666825
guanyinya_2023-05-28-birdnet-09_53_53,12,2,0.32133,1.9812933333333418
guanyinya_2023-05-29-birdnet-12_55_38,10,2,0.18933000000000533,0.9626333333333372
guanyinya_2023-05-30-birdnet-13_43_48,44,4,0.7466633333333323,6.3265200000000785
guanyinya_2023-05-30-birdnet-14_17_18,13,7,2.9706633333333308,3.8626233333333353
guanyinya_2023-05-30-birdnet-17_13_49,39,5,1.4253299999999989,7.407870000000029
guanyinya_2023-05-31-birdnet-15_17_01,54,9,2.27733,8.68115333333338
guanyinya_2023-05-31-birdnet-15_41_01,45,7,2.4253300000000024,6.27451666666672
guanyinya_2023-05-31-birdnet-15_41_31,47,8,3.537329999999998,9.48251000000004
guanyinya_2023-06-02-birdnet-09_35_50,49,5,1.5013299999999998,9.362503333333368
guanyinya_2023-06-02-birdnet-09_45_20,34,3,0.6933299999999996,7.741220000000036
guanyinya_2023-06-02-birdnet-09_49_20,52,7,3.23999666666667,8.610493333333375
guanyinya_2023-06-02-birdnet-10_17_19,46,8,2.4493300000000033,8.150513333333391
guanyinya_2023-06-02-birdnet-10_41_18,32,6,1.9053299999999993,6.373226666666678
guanyinya_2023-06-02-birdnet-10_45_48,38,8,2.794663333333336,5.875873333333355
guanyinya_2023-06-02-birdnet-10_47_48,71,26,9.610663333333335,15.221096666666696
guanyinya_2023-06-02-birdnet-11_10_18,45,5,1.5879966666666654,10.123850000000026
guanyinya_2023-06-02-birdnet-11_10_48,49,6,1.9893299999999998,9.954503333333374
guanyinya_2023-06-02-birdnet-11_11_18,50,7,2.394663333333331,9.554500000000065
guanyinya_2023-06-02-birdnet-11_11_48,33,5,1.4346633333333365,8.479890000000026
guanyinya_2023-06-02-birdnet-11_12_48,34,5,1.6866633333333318,5.8732200000000265
guanyinya_2023-06-02-birdnet-11_13_48,55,5,2.2519966666666686,10.98515000000004
guanyinya_2023-06-02-birdnet-11_14_18,36,5,1.1919966666666681,7.96654666666671
guanyinya_2023-06-02-birdnet-11_14_48,42,9,2.155996666666667,8.751860000000041
guanyinya_2023-06-02-birdnet-11_15_48,36,5,1.1039966666666707,6.281213333333372
guanyinya_2023-06-02-birdnet-11_20_48,25,3,0.9479966666666666,4.690583333333348
guanyinya_2023-06-02-birdnet-11_36_47,36,5,1.1933299999999996,4.029213333333361
guanyinya_2023-06-02-birdnet-12_49_16,36,15,4.9546633333333325,7.50788000000003
guanyinya_2023-06-02-birdnet-13_21_15,10,5,2.4106633333333356,3.83063333333334
guanyinya_2023-06-02-birdnet-13_21_45,37,7,3.870663333333333,9.377210000000066
guanyinya_2023-06-02-birdnet-13_22_45,43,6,1.9159966666666666,6.578523333333357
guanyinya_2023-06-02-birdnet-13_58_14,37,9,2.8373299999999997,7.457210000000004
guanyinya_2023-06-02-birdnet-13_59_14,36,9,3.9546633333333325,13.182546666666711
guanyinya_2023-06-02-birdnet-13_59_44,36,17,10.52533,13.787880000000037
guanyinya_2023-06-02-birdnet-14_00_14,61,7,1.2026633333333336,8.226463333333362
guanyinya_2023-06-02-birdnet-14_42_13,35,6,2.0613300000000017,5.2252166666666895
guanyinya_2023-06-02-birdnet-14_42_43,26,12,5.109329999999999,10.198579999999994
guanyinya_2023-06-02-birdnet-14_44_13,61,18,7.3039966666666665,18.505130000000047
guanyinya_2023-06-02-birdnet-14_46_43,36,7,2.0039966666666658,7.379880000000005
guanyinya_2023-06-02-birdnet-14_47_43,37,8,4.419996666666666,9.04387666666673
guanyinya_2023-06-02-birdnet-14_49_13,34,5,1.1746633333333314,7.601219999999978
guanyinya_2023-06-02-birdnet-15_21_12,54,19,7.587996666666667,11.530486666666707
guanyinya_2023-06-02-birdnet-17_12_10,50,5,1.2066633333333385,6.003833333333371
guanyinya_2023-06-02-birdnet-17_13_10,47,4,1.433329999999998,6.387843333333359
guanyinya_2023-06-02-birdnet-17_48_09,43,4,0.8879966666666697,6.147856666666723
guanyinya_2023-06-02-birdnet-17_49_39,39,5,1.5959966666666667,7.061203333333362
guanyinya_2023-06-02-birdnet-17_50_39,57,5,1.4386633333333343,7.833143333333377
guanyinya_2023-06-02-birdnet-18_08_39,46,3,0.5186633333333334,5.786513333333378
guanyinya_2023-06-02-birdnet-18_11_09,41,4,0.8586633333333324,6.306530000000022
guanyinya_2023-06-02-birdnet-18_28_08,45,8,1.9266633333333336,9.675850000000018
guanyinya_2023-06-02-birdnet-19_32_07,45,10,2.639996666666666,6.067850000000032
guanyinya_2023-06-02-birdnet-19_32_37,41,7,2.1319966666666694,11.450530000000061
guanyinya_2023-06-02-birdnet-20_04_36,64,8,2.0586633333333326,8.490453333333367
guanyinya_2023-06-02-birdnet-20_05_06,70,7,1.863996666666666,10.594433333333393
guanyinya_2023-06-02-birdnet-20_05_36,67,9,2.261330000000001,9.861110000000036
guanyinya_2023-06-02-birdnet-20_06_06,54,10,2.7639966666666664,7.83448666666669
guanyinya_2023-06-02-birdnet-20_08_06,46,7,1.5573300000000039,7.225180000000044
guanyinya_2023-06-02-birdnet-20_13_36,67,12,4.178663333333336,12.205110000000065
guanyinya_2023-06-02-birdnet-20_14_06,77,24,7.541329999999999,15.509076666666704
guanyinya_2023-06-02-birdnet-20_14_36,61,10,3.057330000000004,10.201130000000049
guanyinya_2023-06-03-birdnet-05_25_54,2,1,0.7346633333333319,0.7879933333333327
guanyinya_2023-06-03-birdnet-05_26_24,2,1,0.19332999999999956,0.6586600000000011
guanyinya_2023-06-03-birdnet-05_27_54,5,3,1.2906633333333346,1.8679833333333278
guanyinya_2023-06-03-birdnet-05_36_24,60,20,7.262663333333334,14.281133333333377
guanyinya_2023-06-03-birdnet-05_36_54,58,10,3.5999966666666663,13.633140000000028
